candidate_profile,trajectory_key,trajectory_display,baseline_rmse_m,candidate_rmse_m,delta_rmse_m,delta_rmse_pct,baseline_comp_time_ms,candidate_comp_time_ms,delta_comp_time_ms,delta_comp_time_pct
alpha_high,circle_horz,Circle Horizontal,0.260071,0.272537,0.012467,4.793548,0.638979,0.66081,0.021831,3.416568
alpha_high,circle_vert,Circle Vertical,0.178182,0.170021,-0.008161,-4.580197,0.665787,0.657706,-0.008082,-1.213828
alpha_high,fig8_horz,Fig8 Horizontal,0.234617,0.240842,0.006225,2.653193,0.692012,0.634819,-0.057194,-8.264844
alpha_high,fig8_vert,Fig8 Vertical,0.232275,0.247377,0.015102,6.501795,0.685904,0.640113,-0.045791,-6.675967
alpha_high,hover,Hover,0.495054,0.481909,-0.013145,-2.655191,0.661452,0.676891,0.015439,2.334096
alpha_high,yaw_only,Yaw Only,0.048304,0.056552,0.008247,17.073149,0.683106,0.666512,-0.016594,-2.429142
alpha_high_dense,circle_horz,Circle Horizontal,0.260071,0.269703,0.009632,3.703671,0.638979,0.908429,0.26945,42.168911
alpha_high_dense,circle_vert,Circle Vertical,0.178182,0.170521,-0.007661,-4.29956,0.665787,0.819721,0.153933,23.120453
alpha_high_dense,fig8_horz,Fig8 Horizontal,0.234617,0.228189,-0.006428,-2.739833,0.692012,0.868181,0.176169,25.457506
alpha_high_dense,fig8_vert,Fig8 Vertical,0.232275,0.247905,0.01563,6.728967,0.685904,0.873422,0.187518,27.338844
alpha_high_dense,hover,Hover,0.495054,0.50102,0.005966,1.205138,0.661452,0.845416,0.183963,27.812061
alpha_high_dense,yaw_only,Yaw Only,0.048304,0.051548,0.003243,6.714571,0.683106,0.894817,0.211711,30.9924
